gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,0,0,0.10704778280226633,0,0,0,0,1,0,1,1,0,-0.5172074769706297,-0.25504092025125735,0,0,0,0,0,1,0
1,0,1,1,-0.7073594915983407,1,0,1,0,0,0,0,0,0,0.3436033691154218,-0.49773564378084617,1,0,0,0,0,0,1
1,0,1,1,-0.7888002190384014,0,0,1,1,0,1,0,0,0,-0.8046983579993692,-0.7453274977070509,0,0,0,1,0,0,1
0,0,1,0,-0.2594354906780068,1,0,0,1,1,0,1,1,1,0.29042586511010604,-0.16501754570806054,0,0,0,1,1,0,0
1,0,1,1,-1.2774445836787656,1,0,0,0,0,0,0,0,0,-0.6717545979860794,-0.986125134686599,0,0,0,0,0,1,0
1,0,0,1,1.369379058123207,1,0,0,1,1,1,1,1,1,0.4898415051300408,1.2866507296996086,0,0,0,1,1,0,0
0,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,-1.4943441130683104,-0.9970444119222968,0,1,0,0,1,0,0
0,0,1,0,0.3106496014024181,1,1,0,1,0,0,0,0,0,-0.27126152094604356,0.043838447963830504,0,0,0,0,1,0,0
0,0,1,0,1.3286586944031769,1,0,0,0,0,1,1,0,1,-0.16490651293541178,0.6743329569551688,0,0,0,1,1,0,0
0,0,0,0,1.125056875803025,1,1,0,0,1,1,1,1,0,0.5247392421335293,1.1326558319573745,0,0,1,0,1,0,0
0,1,0,0,-1.1145631287986442,1,0,1,1,0,1,0,0,0,-0.1615829189350795,-0.8787853305878008,0,0,0,0,1,0,0
0,0,1,1,-1.1145631287986442,1,0,1,0,0,0,0,0,1,-0.5105602889699654,-0.9031827459871578,0,0,0,0,0,0,1
0,0,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,-0.4590445819648154,-0.9514922755753962,0,0,0,0,0,0,1
1,0,1,1,-0.0965540357978854,1,1,1,1,1,1,0,0,0,0.09433381909050333,-0.12332575989903286,0,0,0,0,0,1,0
1,0,1,0,0.14776814652229667,1,1,0,0,0,0,1,1,1,1.0182929511828682,0.5269778621380763,1,0,0,0,0,1,0
0,0,1,1,0.9214550572028734,1,0,0,0,0,0,0,0,1,0.142525932095321,0.6895096493554922,1,0,0,1,1,0,0
0,0,0,0,-0.055833672077855064,1,1,1,0,1,0,0,0,1,0.6643301901474837,0.14720760579510242,1,0,0,0,1,0,0
0,1,1,1,-0.1779947632379461,0,0,0,0,0,0,1,0,1,-0.9592454790148186,-0.5762220850022856,0,0,0,0,0,1,0
1,0,0,0,-0.6666391278783103,1,0,0,0,0,0,0,0,0,-1.5225946620711341,-0.8616012559077836,0,1,0,1,1,0,0
1,0,0,0,-1.0738427650786138,1,0,0,0,0,0,0,0,0,-1.4827115340671475,-0.9482054628317216,0,1,0,0,0,0,0
1,1,1,0,-0.21871512695797646,1,1,1,0,1,0,0,0,1,0.7025515211513048,-0.026309636095803397,1,0,1,0,0,1,0
1,0,0,0,1.0436161483629645,1,1,0,0,0,0,0,0,1,-1.3115464430500368,-0.35532179765223093,0,1,0,1,1,0,0
1,0,1,1,1.6137012404433893,1,1,1,1,1,1,0,1,1,1.3340343812144315,2.405733261910076,1,0,0,1,1,0,0
0,0,0,0,-0.1779947632379461,0,0,0,0,1,1,0,0,1,-0.9642308700153169,-0.5816265757553076,0,0,0,0,0,0,1
1,0,1,1,0.3106496014024181,1,0,0,0,1,0,1,0,1,0.6743009721484804,0.4746756271363808,1,0,1,0,0,1,0
1,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,-1.4710789550659844,-0.996735583879267,0,1,0,0,0,0,1
0,0,0,0,-1.1145631287986442,1,0,0,0,0,0,0,1,1,0.5064594751317021,-0.8237918797825595,1,0,0,0,0,1,0
0,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,1,0.14751132309581955,-0.9752499757427628,1,0,0,0,0,1,0
0,0,0,1,-0.8295205827584317,1,1,0,1,1,0,1,1,1,1.3473287572157604,-0.4429848435808425,1,0,0,0,0,1,0
1,0,0,0,-1.1145631287986442,1,0,0,0,0,1,1,1,1,1.0415581091851935,-0.8057474984112448,1,0,0,0,0,1,0
1,0,1,0,1.5729808767233588,1,0,1,1,1,1,1,1,1,0.7091987091519689,1.6615679739378277,0,0,0,1,0,0,0
1,0,0,0,-1.1960038562387048,1,1,0,0,0,0,0,0,1,0.40508985812156867,-0.905013655099406,1,0,0,0,0,1,0
0,0,1,0,-0.0965540357978854,1,0,0,0,0,0,0,0,0,-1.4993295040688086,-0.7164300165378306,0,1,0,0,0,0,0
0,0,1,0,-0.30015585439803716,1,0,0,0,0,0,0,0,1,-1.481049737066981,-0.7817030293467792,0,1,1,0,0,0,0
1,0,1,1,0.7992939660427822,1,1,0,0,0,0,0,0,0,-1.3364733980525287,-0.41854330988962424,0,1,0,1,0,0,1
0,1,0,0,0.5549717837226001,1,1,1,1,1,0,1,1,1,1.503537675231376,1.1448986579489144,1,0,1,0,0,1,0
1,0,0,0,-0.9516816739185228,1,0,0,0,0,0,0,0,1,0.19071804510013865,-0.7419965666715147,1,0,0,0,0,1,0
0,0,1,0,-0.5444780367182193,1,1,0,0,0,0,1,0,1,0.7341256641544608,-0.3155932758310357,1,0,0,0,0,1,0
0,0,0,0,-0.8295205827584317,1,0,0,1,0,0,0,0,1,-0.5105602889699654,-0.7359303015405715,0,0,0,0,0,1,0
1,1,1,0,0.5142514200025698,1,1,0,1,1,1,1,0,1,1.1279715531938321,0.990925819352611,1,0,1,0,0,0,0
0,0,1,1,0.14776814652229667,1,1,1,0,1,0,1,1,1,1.3207400052131024,0.6199571622359872,1,0,0,0,1,0,0
1,0,0,0,0.22920887396235737,1,1,0,1,1,0,0,1,1,1.0083221691818711,0.622714555477325,1,0,0,0,1,0,0
1,0,1,1,-1.2774445836787656,1,0,0,0,0,0,0,0,0,-1.5142856770703037,-0.9973091216734653,0,1,0,0,0,0,1
1,0,1,0,-0.9109613101984924,1,1,0,0,1,0,1,1,1,1.1213243651931677,-0.5479422599191249,1,0,0,0,0,1,0
1,0,1,1,-0.7888002190384014,1,0,0,0,0,0,0,0,0,-0.6634456129852487,-0.7590703456218785,0,0,0,0,0,0,0
1,0,0,0,-0.5851984004382496,1,1,0,0,1,1,1,1,1,0.572931355138347,-0.37689564237245793,0,0,1,0,1,0,0
0,0,1,0,0.18848851024232702,0,0,1,0,0,1,1,0,0,-0.6435040489832552,-0.30293132606681256,0,0,0,1,0,1,0
1,0,0,1,-1.1145631287986442,1,0,0,0,0,0,0,0,0,-1.4760643460664828,-0.951955517639941,0,1,0,0,1,0,0
1,0,0,0,-0.8702409464784621,1,0,0,1,0,0,0,0,0,0.3386179781149237,-0.6459951635810975,1,0,0,0,0,1,0
1,0,0,1,1.2879383306831464,1,0,0,1,0,1,1,1,1,1.1429277261953275,1.7168481936401683,1,0,0,0,1,0,0
1,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,1,0,-0.30615925794953225,-0.9812721225818445,0,0,0,0,0,0,1
1,1,1,0,0.18848851024232702,1,1,0,0,0,0,1,1,1,0.9219087251732329,0.5266249158031852,1,0,0,0,0,1,0
0,0,1,1,0.6364125111626608,1,1,1,1,0,0,1,1,1,1.3456669602155942,1.199031802062858,1,0,0,0,1,0,0
1,1,1,0,-0.5037576729981889,1,1,0,0,0,0,1,1,1,0.9900424021800438,-0.16768670236567554,1,0,0,0,0,1,0
0,0,0,0,-0.2594354906780068,1,1,1,1,0,0,1,0,1,0.1574821050968162,-0.21162852105963495,0,0,0,0,0,0,0
0,0,0,0,-0.0965540357978854,1,0,0,0,0,0,0,0,0,-1.5076384890696393,-0.7505555152926273,0,1,0,1,1,0,0
0,0,0,0,1.4915401492832983,1,1,1,1,0,1,0,0,1,0.07106866108817798,1.0139114494124029,0,0,0,1,0,0,1
1,0,1,1,1.247217966963116,1,1,1,1,1,1,1,1,1,0.8188773111629334,1.46380773066908,0,0,0,1,1,0,0
1,0,1,0,-1.1145631287986442,1,0,0,0,0,0,0,0,0,-1.5093002860698053,-0.950168726819554,0,1,0,0,0,0,1
1,0,1,0,0.26992923768238775,1,0,0,0,0,0,0,0,1,-1.4727407520661506,-0.6572453280057557,0,1,0,1,0,0,0
1,0,0,1,-1.1552834925186746,1,1,0,1,0,0,1,1,1,1.2276793732037996,-0.8449466007301032,1,0,0,0,0,1,0
1,0,1,0,1.125056875803025,1,1,0,0,1,0,1,1,0,1.2093996062019723,1.6710534066880298,1,0,0,1,1,0,0
1,0,1,1,-0.5444780367182193,1,1,0,0,1,1,1,1,0,1.2808568772091153,-0.11781097341635724,1,0,0,0,0,1,0
0,0,1,0,-0.8702409464784621,1,1,0,1,0,0,1,1,1,1.2376501552047963,-0.5004709778762533,1,0,0,0,0,1,0
0,1,0,0,-0.055833672077855064,1,1,0,1,0,0,1,1,1,1.1695164781979852,0.4001157138906064,1,0,0,0,0,1,0
1,0,0,0,-0.0965540357978854,1,0,1,1,1,0,0,0,1,0.6493740171459885,0.07008883162136646,1,0,0,0,1,0,0
1,0,0,0,0.8400143297628127,1,1,0,0,0,0,0,0,0,-1.3348116010523623,-0.4415068808034855,0,1,0,1,0,0,1
0,0,0,0,-1.1145631287986442,1,0,0,1,0,1,0,1,1,0.8172155141627669,-0.8020856801867483,1,0,0,0,0,1,0
1,1,0,0,0.758573602322752,1,1,0,1,0,0,0,0,1,0.4931650991303729,0.7477899129044081,1,0,1,0,0,0,0
0,0,1,0,1.5729808767233588,1,1,1,1,1,1,1,1,0,0.8155537171626008,1.8127834192927932,0,0,0,1,1,0,0
0,0,0,1,1.1657772395230555,1,1,0,0,0,0,0,0,1,-1.3215172250510334,-0.34473340760549376,0,1,0,1,1,0,0
1,1,0,0,-0.9924020376385531,1,0,0,1,0,0,0,0,1,0.3236618051134285,-0.7381803344255032,1,0,0,0,0,1,0
1,0,1,0,-0.9109613101984924,1,0,1,0,0,1,0,0,1,-0.32610082195152557,-0.754812930457253,0,0,0,0,1,0,0
0,0,1,0,-0.8295205827584317,0,0,0,0,1,0,1,1,1,-0.49560411596847015,-0.7335037954881942,0,0,0,0,0,0,0
1,0,1,0,1.369379058123207,1,1,0,0,0,1,0,1,0,-0.030300955921955676,0.8756888410106214,0,0,0,0,0,1,0
1,0,0,0,-0.3408762181180675,1,0,1,1,0,1,0,0,0,-0.143303151933252,-0.37014554371766295,0,0,0,0,0,0,0
0,0,1,1,-1.1552834925186746,1,0,0,1,0,1,0,0,0,-0.27458511494637583,-0.902057729544692,0,0,0,0,0,0,1
0,0,0,0,-1.1552834925186746,1,1,0,1,0,0,0,1,1,0.8039211381614382,-0.8490716610191446,1,0,0,0,0,1,0
0,0,0,1,0.10704778280226633,1,0,1,1,0,0,0,0,0,-0.304497460949366,-0.11615653747155455,0,0,1,0,1,0,0
0,1,0,0,0.5142514200025698,1,0,1,1,0,1,0,0,1,0.6959043331506402,0.661053351104886,1,0,0,0,0,0,0
1,0,0,0,1.3286586944031769,1,1,1,0,1,1,1,1,1,1.503537675231376,2.1436706082533306,1,0,1,0,1,0,0
0,0,1,1,-0.748079855318371,1,0,0,0,0,0,0,1,1,0.5363718211346925,-0.49718416513257857,1,0,0,0,0,0,0
0,0,1,1,1.1657772395230555,0,0,1,1,0,1,0,1,1,-0.467353566965646,0.3569239061582909,0,0,1,0,0,0,0
1,0,1,1,1.4508197855632678,1,0,1,0,1,0,0,0,0,0.5180920541328647,1.3656445312774539,1,0,0,1,1,0,0
0,0,1,1,-0.38159658183809786,1,0,1,1,0,1,0,0,1,-0.23304018994222275,-0.43980832656682145,0,0,1,0,0,0,1
0,0,0,0,0.9214550572028734,1,0,0,1,1,0,0,0,1,0.5579751821368518,0.983734537779202,1,0,0,0,0,1,0
1,0,1,1,1.4915401492832983,1,1,0,0,0,0,0,0,0,-1.3397969920528607,-0.24773934294819486,0,1,0,1,0,0,0
0,0,1,0,-1.0331224013585834,1,0,1,0,1,1,1,1,0,0.5480044001358552,-0.7498496226228448,0,0,0,0,0,0,0
0,0,1,1,1.6137012404433893,1,1,1,0,0,0,0,0,0,0.4748853321285456,1.5225071179906793,1,0,0,1,0,0,0
0,0,1,1,1.1657772395230555,1,0,1,0,0,0,0,0,1,-0.5005895069689685,0.30073926147279173,0,0,1,0,0,0,0
1,1,1,0,1.2879383306831464,1,0,1,0,1,0,0,0,0,0.5164302571326987,1.207943697018862,1,0,1,0,1,0,0
0,1,1,0,-0.015113308357824713,1,1,0,0,0,0,1,1,1,0.9451738831755587,0.28732730074692453,1,0,0,0,0,1,0
0,0,0,0,-1.2774445836787656,1,1,0,0,1,0,0,0,1,0.4915033021302069,-0.9706837325351073,1,0,0,0,0,0,1
1,0,0,0,-1.1960038562387048,1,0,1,0,0,1,0,0,1,0.5829021371393436,-0.9111902159600027,1,0,0,0,0,0,1
1,0,0,1,-1.1960038562387048,1,0,0,0,0,0,0,0,0,-1.481049737066981,-0.9834559780289841,0,1,0,0,0,0,0
0,0,1,0,1.6137012404433893,1,1,1,0,1,1,1,1,1,0.6526976111463211,1.683869770473768,0,0,0,1,1,0,0
0,0,0,1,-0.2594354906780068,0,0,0,0,1,0,0,0,1,-1.1619847130350858,-0.658789468220905,0,0,0,0,0,0,1
1,0,0,0,0.26992923768238775,1,0,1,0,1,0,1,1,1,1.1861344481996465,0.6714652679841775,1,0,0,1,0,1,0
0,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,-1.502653098069141,-0.9971547076519502,0,1,0,0,0,0,1
0,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,1,-1.504314895069307,-0.997176766797881,0,1,0,0,0,0,1
0,0,1,1,0.9621754209229036,1,0,0,0,0,0,1,1,0,0.8022593411612722,1.1860169059637438,1,0,1,0,0,0,0
0,1,1,0,0.43281069256250915,1,1,0,0,1,1,1,1,1,1.422109622223236,0.9944994009933846,1,0,1,0,0,1,0
0,0,0,1,-1.2774445836787656,1,1,0,0,0,0,0,0,0,-1.3082228490497045,-0.9945737875780581,0,1,0,0,0,0,1
1,0,0,0,-0.13727439951791576,1,1,0,1,1,0,0,1,0,0.20401242110146783,-0.13903187180169307,0,0,1,0,1,0,0
1,0,0,0,-1.2367242199587352,1,1,0,1,0,0,0,0,1,0.572931355138347,-0.9243154077887707,1,0,0,0,0,1,0
1,0,0,0,1.4508197855632678,1,0,0,1,1,0,0,0,0,0.4931650991303729,1.4037186171538465,1,0,1,0,1,0,0
1,0,1,1,1.4100994218432374,1,1,0,1,0,0,0,1,1,0.8238627021634315,1.805923024908345,1,0,0,0,0,0,0
0,0,1,1,-0.5444780367182193,1,1,0,0,0,0,0,0,1,-1.3248408190513656,-0.799438582675064,0,1,0,1,0,0,0
1,0,1,1,1.369379058123207,0,0,0,1,1,0,1,1,1,-0.2662761299455452,0.6303029016774868,0,0,0,1,1,0,0
0,0,1,0,-1.1552834925186746,0,0,1,0,0,0,0,0,1,-1.1869116680375775,-0.9486025274584742,0,0,0,0,0,1,0
0,0,1,1,-0.9516816739185228,1,0,0,0,0,0,0,0,0,-1.4960059100684764,-0.9128446519048055,0,1,0,1,0,0,1
1,1,1,0,0.8400143297628127,1,1,0,1,1,0,1,1,1,1.2991366442109427,1.4143290663465145,1,0,0,0,0,1,0
0,0,0,0,-0.38159658183809786,1,0,0,0,0,0,0,0,1,-1.504314895069307,-0.7983356253785289,0,1,0,0,0,0,1
0,0,1,0,0.7178532386027215,1,1,1,1,0,1,1,1,0,1.4553455622265583,1.4695651677569934,1,0,1,0,0,1,0
1,0,0,0,-1.2367242199587352,1,0,0,1,0,0,0,0,0,0.3386179781149237,-0.938830325811173,1,0,0,0,0,1,0
0,0,1,0,1.0843365120829946,1,0,0,0,0,0,0,0,0,-1.4760643460664828,-0.4468010758268541,0,1,1,0,0,0,1
1,0,1,1,1.247217966963116,1,1,1,1,1,0,1,1,0,0.6227852651433307,1.392049328956505,0,0,0,1,1,0,0
0,0,1,0,-0.30015585439803716,1,0,1,1,0,1,0,1,1,0.2089978121019659,-0.19501798417381594,0,0,0,0,0,0,1
0,0,0,0,-0.748079855318371,1,1,0,0,1,0,0,0,1,0.5214156481331973,-0.5328317449565938,1,0,0,0,0,1,0
1,0,1,0,1.3286586944031769,1,1,1,1,1,0,0,0,0,0.07605405208867606,0.8955200132023228,0,0,1,0,1,0,0
1,1,1,0,1.4915401492832983,0,0,1,1,0,0,1,1,0,-0.2729233179462098,0.7380618295489685,0,0,0,1,1,0,0
0,0,1,1,-0.46303730927815856,1,0,0,1,0,0,0,0,1,0.3087056321119333,-0.3150197380368374,1,0,0,0,0,0,0
1,0,1,1,0.43281069256250915,1,1,1,0,1,1,0,0,1,0.8803638001690798,0.7650401650222176,1,0,1,0,1,0,0
1,1,1,0,1.5729808767233588,1,1,1,1,1,1,0,0,1,0.9052907551715716,1.8994979219463848,1,0,1,0,0,1,0
1,0,0,1,-0.5444780367182193,0,0,0,0,0,0,0,0,1,-1.3098846460498705,-0.7560261834834415,0,0,0,0,1,0,0
0,0,0,0,0.3106496014024181,1,0,0,0,0,0,0,0,0,-1.4993295040688086,-0.6394877155315403,0,1,0,1,1,0,0
0,0,0,0,-0.9516816739185228,1,1,0,0,0,0,0,1,1,0.6161380771426661,-0.6513775951881889,1,0,0,0,0,1,0
1,0,0,0,1.0436161483629645,1,1,0,1,1,0,1,1,1,1.2791950802089493,1.6491045564869808,1,0,1,0,0,0,0
0,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,-1.491020519067978,-0.9970002936304354,0,1,0,0,0,0,0
1,0,1,1,0.5956921474426305,1,1,1,1,1,1,1,1,1,1.6182016682428386,1.3403426908949383,1,0,1,0,0,0,0
0,0,1,0,1.0436161483629645,1,1,1,0,1,1,1,1,1,0.6493740171459885,1.1632518673632586,0,0,0,1,0,1,0
1,0,0,0,0.3106496014024181,1,1,0,1,1,0,1,1,1,1.259253516206956,0.8066657733934529,1,0,0,0,0,0,1
0,0,0,0,0.35136996512244845,1,1,0,0,1,1,0,1,1,0.12756975909382579,0.2635254822876967,0,0,1,0,0,1,0
1,0,1,0,1.4100994218432374,1,0,1,1,0,0,1,1,1,1.2010906212011416,1.9647709347553333,1,0,1,0,1,0,0
1,1,0,0,0.06632741908223598,1,0,0,1,1,0,1,1,1,1.1661928841976528,0.46916084065370517,1,0,1,0,0,1,0
1,0,0,0,-1.1960038562387048,1,0,0,0,0,0,0,0,1,-1.517609271070636,-0.9823750798783796,0,1,0,0,0,0,1
0,1,1,0,1.125056875803025,1,1,1,1,1,1,1,1,1,1.7046151122514768,2.0498089423181916,1,0,0,1,0,0,0
0,1,0,0,-0.9924020376385531,1,0,0,0,1,0,1,1,1,0.9086143491719036,-0.6837383622685295,1,0,0,0,0,1,0
1,0,1,1,-0.7073594915983407,1,1,0,0,0,0,0,0,1,0.33695618111475767,-0.5172800470754485,1,0,0,0,0,0,0
1,0,0,0,1.4508197855632678,1,1,1,1,1,0,0,1,1,1.2409737492051283,2.148391265482501,1,0,0,1,0,0,0
1,1,1,0,1.5729808767233588,1,1,0,0,0,0,0,0,0,-1.3065610520495383,-0.216216823413221,0,1,0,1,1,0,0
